% time spent exploring,episodes,mean 100 episode reward,steps
99,100,-30.5,19898
98,200,-26.7,39998
97,300,-30.4,60098
96,400,-27.3,80198
95,500,-27.4,100298
94,600,-28.9,120398
93,700,-28.8,140498
92,800,-30.2,160598
91,900,-26.9,180698
90,1000,-23.2,200798
89,1100,-24.7,220898
88,1200,-25.4,240998
87,1300,-26.1,261098
86,1400,-23.4,281198
85,1500,-25.5,301298
84,1600,-24.1,321398
83,1700,-23.4,341498
82,1800,-25.1,361598
81,1900,-22.8,381698
80,2000,-25.5,401798
79,2100,-24.3,421898
78,2200,-22.5,441998
77,2300,-25.4,462098
76,2400,-21.9,482198
75,2500,-25.5,502298
74,2600,-25.4,522398
73,2700,-22.0,542498
72,2800,-21.3,562598
71,2900,-20.1,582698
70,3000,-17.6,602798
69,3100,-19.2,622898
68,3200,-21.7,642998
67,3300,-25.3,663098
66,3400,-35.2,683198
65,3500,-28.4,703298
64,3600,-29.9,723398
63,3700,-33.1,743498
62,3800,-34.8,763598
61,3900,-38.5,783698
60,4000,-26.8,803798
59,4100,-22.4,823898
58,4200,-24.8,843998
57,4300,-15.2,864098
56,4400,-11.2,884198
55,4500,-24.3,904298
54,4600,-29.9,924398
53,4700,-23.3,944498
52,4800,-19.8,964598
51,4900,-7.6,984698
50,5000,-22.1,1004798
49,5100,-17.1,1024898
48,5200,-8.4,1044998
47,5300,-8.5,1065098
46,5400,-17.8,1085198
45,5500,-16.8,1105298
44,5600,-10.3,1125398
43,5700,-9.0,1145498
42,5800,-15.1,1165598
41,5900,-8.6,1185698
40,6000,-8.0,1205798
39,6100,-12.7,1225898
38,6200,-5.5,1245998
37,6300,-6.8,1266098
36,6400,-5.7,1286198
35,6500,-7.3,1306298
35,6600,-1.4,1326398
34,6700,-3.2,1346498
33,6800,-8.3,1366598
32,6900,-4.7,1386698
31,7000,-11.2,1406798
30,7100,-7.7,1426898
29,7200,-7.5,1446998
28,7300,-9.5,1467098
27,7400,-7.7,1487198
26,7500,-1.1,1507298
25,7600,-3.5,1527398
24,7700,-2.7,1547498
23,7800,-2.0,1567598
22,7900,-4.9,1587698
21,8000,-2.3,1607798
20,8100,-3.9,1627898
