# {"t_start": 1569812051.8522682, "env_id": null} 
r,l,t
-40,201,1.087652
-10,201,1.292762
-30,201,1.525004
-40,201,1.745094
-20,201,1.951848
-40,201,2.164241
0,201,2.37707
-30,201,2.587322
-50,201,2.802886
-20,201,3.019709
-20,201,3.336363
-40,201,3.54658
0,201,3.74725
-30,201,3.948421
0,201,4.154851
-20,201,4.360858
-50,201,4.563028
-30,201,4.751231
-20,201,4.950364
-30,201,5.154111
-60,201,5.403691
-10,201,5.609372
-10,201,5.810947
-40,201,6.015251
-20,201,6.212753
-60,201,6.411622
-20,201,6.614727
-20,201,6.813183
0,201,7.031839
-30,201,7.244251
-40,201,7.518748
-20,201,7.728329
0,201,7.935792
-10,201,8.151852
-10,201,8.361626
-60,201,8.572112
0,201,8.77281
-20,201,8.978335
-30,201,9.182976
-60,201,9.395566
-30,201,9.678576
-10,201,9.882305
-40,201,10.085348
-20,201,10.285287
-10,201,10.492155
-10,201,10.691382
-10,201,10.904643
-40,201,11.13399
-40,201,11.346291
0,201,11.561679
-10,201,11.836022
-30,201,12.051112
-20,201,12.262015
0,201,12.475724
-20,201,12.684291
-10,201,12.901628
-30,201,13.119295
-20,201,13.32416
0,201,13.516884
-10,201,13.714131
0,201,13.914661
-40,201,14.170374
-40,201,14.395186
-40,201,14.603738
-50,201,14.806981
-30,201,15.015672
0,201,15.223698
-20,201,15.430032
-20,201,15.638664
-20,201,15.844453
-10,201,16.054152
-30,201,16.298916
-50,201,16.502775
-10,201,16.702536
-30,201,16.897471
-20,201,17.095844
-20,201,17.29623
-50,201,17.511866
-20,201,17.729002
-30,201,17.93944
0,201,18.142893
-10,201,18.401577
-10,201,18.604691
-20,201,18.808918
-20,201,19.014225
0,201,19.212958
0,201,19.419546
0,201,19.629447
-10,201,19.836736
-10,201,20.036036
0,201,20.244243
-10,201,20.501707
-20,201,20.707653
-60,201,20.918523
-10,201,21.108156
0,201,21.300014
-30,201,21.54267
-10,201,21.768829
0,201,21.981451
-10,201,22.189938
0,201,22.393807
0,201,22.640176
-10,201,22.839197
0,201,23.043955
-10,201,23.253156
-10,201,23.462018
-20,201,23.666266
-10,201,23.86379
-10,201,24.06932
-10,201,24.276168
