eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
101.0,-22.9,509,0.00028618178,0.0,1.9456223,-0.00049859413,82.49618,-0.0012344121932983398,1,2048,4.021354912023526,2048
101.0,-15.73,545,0.00071385945,0.0,1.8958281,-0.0005694728,75.72478,0.005390465259552002,10,20480,37.85081963101402,20480
101.0,-3.95,557,0.0023117422,0.0,1.582898,-0.0030880736,41.452194,0.01631397008895874,20,40960,74.78687743400224,40960
101.0,-6.21,561,0.00027047473,0.0,1.5103616,-0.0007624893,43.33961,0.03541308641433716,30,61440,111.36766659002751,61440
101.0,-4.41,563,0.0009924185,0.0,1.4751793,-0.00033412903,40.964558,0.03597414493560791,40,81920,147.7368085840135,81920
101.0,-2.97,557,0.00021947802,0.0,1.3755453,-0.0006751751,58.16542,0.009737253189086914,50,102400,184.28077746502822,102400
101.0,-3.21,570,0.00082536653,0.0,1.2027035,-0.0005518481,17.902052,0.013261556625366211,60,122880,220.63037707901094,122880
101.0,-0.39,571,0.0014840681,0.020751953,0.9411631,-0.0037917444,0.5244134,-0.12251675128936768,70,143360,256.651627097046,143360
101.0,-0.01,562,0.0008970997,0.0017089844,0.7459862,-0.0016274404,0.06647565,-0.017779827117919922,80,163840,292.5690032140119,163840
101.0,-0.14,568,0.0008069084,0.0,0.43305573,-0.0011175716,0.0014985392,-5.937202453613281,90,184320,328.3493147340487,184320
101.0,-0.02,566,0.00014429199,0.0,0.11121927,-0.00074937637,0.00022656053,-3.4815540313720703,100,204800,364.21089144505095,204800
101.0,0.0,565,7.3528695e-06,0.0,0.043719754,-2.6476511e-05,3.899769e-05,-0.18362104892730713,110,225280,400.2088525200379,225280
101.0,0.0,569,3.506372e-07,0.0,0.018521493,-6.073105e-05,1.6322749e-05,-2.244279146194458,120,245760,436.13359490805306,245760
101.0,0.0,563,2.6125424e-09,0.0,0.012719221,-1.7235288e-07,6.941288e-06,-1.366398811340332,130,266240,472.01339408702916,266240
101.0,0.0,562,3.5222218e-11,0.0,0.0069467146,-2.4098845e-06,6.447284e-06,-0.004347085952758789,140,286720,507.9110295760329,286720
101.0,0.0,575,1.01631e-06,0.0,0.00469238,-0.00014545824,4.9853456e-06,-0.9260998964309692,150,307200,543.8030530350516,307200
101.0,-0.01,567,1.1248279e-12,0.0,0.0037105756,-9.658106e-08,3.1020463e-06,0.5484149158000946,160,327680,579.7773260340327,327680
101.0,0.0,534,1.637821e-08,0.0,0.002891153,-1.7979619e-06,2.7478832e-06,0.30612462759017944,170,348160,616.3004889660515,348160
101.0,0.0,550,2.0472176e-12,0.0,0.0027635829,2.2555469e-08,9.628698e-07,0.459039568901062,180,368640,653.6559266220429,368640
101.0,0.0,520,2.285171e-13,0.0,0.0028968013,-2.146553e-07,7.602227e-07,0.15677756071090698,190,389120,693.2338924230426,389120
101.0,0.0,547,1.0700419e-06,0.0,0.001804475,-3.964422e-05,2.041157e-05,-7.315912246704102,200,409600,731.5978979490465,409600
101.0,0.0,549,1.3952936e-12,0.0,0.0012578089,-5.834445e-07,3.0533643e-06,-13.236589431762695,210,430080,768.993312368053,430080
101.0,0.0,552,1.5330457e-16,0.0,0.0012013721,-2.7794158e-09,3.2593638e-07,-0.1920708417892456,220,450560,806.3079282570397,450560
101.0,0.0,546,4.163786e-14,0.0,0.0011894086,1.9936124e-08,2.8003745e-07,-0.17936885356903076,230,471040,843.9527587920311,471040
101.0,0.0,541,9.537625e-16,0.0,0.0011973057,-4.947651e-10,3.7347644e-07,-0.36475205421447754,240,491520,882.1179564730264,491520
101.0,0.0,514,5.1332674e-16,0.0,0.0012001263,4.8894435e-09,4.907837e-07,-0.35105788707733154,250,512000,920.8544469710323,512000
101.0,0.0,542,1.8725525e-13,0.0,0.0014073764,-2.681045e-07,4.7002595e-07,-1.3606719970703125,260,532480,959.3926762750489,532480
101.0,0.0,544,2.4089493e-16,0.0,0.0011571358,-5.296897e-09,4.4732917e-07,-0.4204319715499878,270,552960,997.1501251410227,552960
101.0,0.0,529,2.96145e-15,0.0,0.0007014684,1.0782969e-08,1.6617306e-06,0.6136593222618103,280,573440,1035.8597878300352,573440
101.0,0.0,553,2.0475175e-15,0.0,0.0006880535,1.162698e-08,3.6297286e-07,0.5849852859973907,290,593920,1073.9690693280427,593920
101.0,0.0,542,6.068568e-18,0.0,0.0005365594,-1.2660166e-09,2.7827022e-07,-0.27819788455963135,300,614400,1111.788802399009,614400
101.0,0.0,542,3.7725466e-16,0.0,0.0004968504,-4.962203e-09,2.2291287e-07,0.1533437967300415,310,634880,1149.5156349650351,634880
101.0,-0.04,547,5.38373e-15,0.0,0.00039681885,8.8475645e-09,2.9645526e-05,0.6490567028522491,320,655360,1187.0334440970328,655360
101.0,0.0,544,0.0,0.0,0.00030699867,7.4360287e-09,2.536582e-06,0.6998803317546844,330,675840,1224.5511273600277,675840
101.0,0.0,546,0.0,0.0,0.00031400577,7.566996e-10,6.867476e-07,0.6539084613323212,340,696320,1262.1914854680072,696320
101.0,0.0,535,1.1804357e-15,0.0,0.00021498244,-9.858923e-09,2.2980171e-07,0.3633633255958557,350,716800,1299.898103176034,716800
101.0,0.0,552,7.80435e-18,0.0,0.00021711884,3.594323e-09,1.7332144e-07,-4.820351600646973,360,737280,1337.285424695001,737280
101.0,0.0,540,4.0330868e-16,0.0,0.00021311254,-3.0559022e-09,1.3409588e-07,-1.7838168144226074,370,757760,1374.6852449210128,757760
101.0,0.0,530,0.0,0.0,0.00021739607,-6.504706e-09,1.348655e-07,-4.7791266441345215,380,778240,1413.135243509023,778240
101.0,0.0,540,1.04058e-17,0.0,0.00021314716,-1.9354047e-09,1.1195748e-07,-2.4242618083953857,390,798720,1451.767646937049,798720
101.0,0.0,548,8.6715e-18,0.0,0.00021371144,-3.5797711e-09,1.2254071e-07,-3.1177730560302734,400,819200,1489.55261097505,819200
101.0,0.0,552,1.4076795e-15,0.0,0.00018345258,-1.4551915e-08,1.3699187e-07,-7.712645530700684,410,839680,1526.6167806650046,839680
101.0,0.0,487,0.0,0.0,0.00017950783,-6.9849193e-10,1.1171288e-07,-3.0979743003845215,420,860160,1564.8371373230475,860160
101.0,0.0,533,0.0,0.0,0.00017840759,-2.4592737e-09,9.034179e-08,-2.2794063091278076,430,880640,1606.6669793750043,880640
101.0,0.0,488,0.0,0.0,0.00017880926,6.4028427e-10,1.13197515e-07,-3.262676239013672,440,901120,1649.9795759370318,901120
101.0,0.0,498,0.0,0.0,0.00017688762,-4.1909516e-09,1.291407e-07,-2.750514268875122,450,921600,1692.2592077240115,921600
101.0,0.0,461,7.8876555e-14,0.0,0.00019629125,-1.7724233e-08,1.1487169e-07,-4.932770252227783,460,942080,1735.8726149410359,942080
101.0,0.0,513,1.2032737e-13,0.0,5.3414853e-05,-8.96398e-09,1.552323e-07,0.2545784115791321,470,962560,1777.2381745260209,962560
101.0,0.0,556,0.0,0.0,4.9286944e-05,-8.265488e-09,6.284867e-08,-0.4047936201095581,480,983040,1814.6492566440138,983040
101.0,0.0,551,0.0,0.0,4.944462e-05,-3.2014214e-10,4.7724853e-08,-0.9152102470397949,490,1003520,1852.8420628580498,1003520
101.0,0.0,541,0.0,0.0,4.9217222e-05,-5.005859e-09,4.9171135e-08,-1.2098643779754639,500,1024000,1890.3090837010532,1024000
101.0,0.0,547,1.04077056e-17,0.0,4.905434e-05,5.9080776e-09,4.503715e-08,-1.0570361614227295,510,1044480,1927.9921199770179,1044480
101.0,0.0,522,6.0711616e-18,0.0,4.9335216e-05,-1.3387762e-09,4.064468e-08,-0.9867336750030518,520,1064960,1966.342740814027,1064960
101.0,0.0,535,0.0,0.0,4.889036e-05,-4.3801265e-09,4.5069793e-08,-1.0044941902160645,530,1085440,2005.915852531034,1085440
101.0,0.0,489,2.0815411e-17,0.0,4.8541213e-05,4.5110937e-10,4.467444e-08,-0.9169561862945557,540,1105920,2044.5185789020034,1105920
101.0,0.0,544,6.9384704e-18,0.0,4.914134e-05,4.947651e-10,4.232595e-08,-1.1045241355895996,550,1126400,2082.7404807400308,1126400
101.0,0.0,546,0.0,0.0,4.9990937e-05,-7.421477e-10,3.2077327e-08,-1.0095672607421875,560,1146880,2121.8532626430388,1146880
101.0,0.0,522,0.0,0.0,4.9226568e-05,-3.739842e-09,4.1311612e-08,-1.2586233615875244,570,1167360,2160.7900845709955,1167360
101.0,0.0,565,1.3009632e-17,0.0,4.9871425e-05,-3.1141099e-09,2.3923958e-08,-0.9519364833831787,580,1187840,2197.73615544301,1187840
101.0,0.0,567,7.805779e-18,0.0,3.255292e-05,-4.431058e-09,2.866544e-08,-0.36396968364715576,590,1208320,2233.6033071660204,1208320
101.0,0.0,575,0.0,0.0,3.2584165e-05,9.0221874e-10,2.6900528e-08,-0.01924729347229004,600,1228800,2269.402331910038,1228800
101.0,0.0,558,0.0,0.0,3.3354387e-05,2.0372681e-09,2.5169133e-08,-0.2603100538253784,610,1249280,2306.325186046015,1249280
101.0,0.0,558,0.0,0.0,3.299397e-05,1.2805685e-09,2.1600533e-08,-0.26554620265960693,620,1269760,2344.7418427150114,1269760
101.0,0.0,538,0.0,0.0,3.2937394e-05,5.0931703e-10,2.6590255e-08,-0.22743678092956543,630,1290240,2382.304958639026,1290240
101.0,0.0,551,0.0,0.0,3.3182274e-05,1.0477379e-09,2.4074296e-08,-0.8936972618103027,640,1310720,2420.308706941025,1310720
101.0,0.0,551,0.0,0.0,3.2884593e-05,-5.2532414e-09,2.9992695e-08,-0.5104749202728271,650,1331200,2458.383258324,1331200
101.0,0.0,541,0.0,0.0,3.2790438e-05,-5.151378e-09,2.6880151e-08,0.0861017107963562,660,1351680,2495.3281055710395,1351680
101.0,0.0,513,0.0,0.0,3.240001e-05,-1.5570549e-09,2.6293068e-07,0.009298861026763916,670,1372160,2532.519975989999,1372160
101.0,0.0,518,0.0,0.0,3.2530097e-05,-5.7625584e-09,7.507753e-08,-0.11296892166137695,680,1392640,2571.2433202430257,1392640
101.0,0.0,567,0.0,0.0,3.2632986e-05,-4.147296e-09,4.6280213e-08,-0.3806051015853882,690,1413120,2608.2926986460225,1413120
101.0,0.0,570,0.0,0.0,3.2501077e-05,6.868504e-09,8.426432e-07,-0.43638575077056885,700,1433600,2645.3376880880096,1433600
101.0,0.0,535,0.0,0.0,3.320518e-05,2.8521754e-09,6.716524e-08,-0.39450061321258545,710,1454080,2684.5959370350465,1454080
101.0,0.0,551,0.0,0.0,3.251217e-05,4.5693014e-09,7.458207e-08,-0.5948554277420044,720,1474560,2723.428121010016,1474560
101.0,0.0,553,0.0,0.0,3.230592e-05,1.4842954e-09,3.424598e-08,-0.40438854694366455,730,1495040,2760.506934817997,1495040
101.0,0.0,543,0.0,0.0,3.284875e-05,-7.858034e-10,8.997277e-08,-1.6701581478118896,740,1515520,2797.6981685000355,1515520
101.0,0.0,551,4.3366763e-18,0.0,3.255759e-05,-2.6193447e-10,3.995281e-07,-0.049629926681518555,750,1536000,2834.7978918100125,1536000
101.0,0.0,551,0.0,0.0,3.2789478e-05,-6.490154e-09,8.80704e-07,0.14460277557373047,760,1556480,2871.8609752870398,1556480
101.0,0.0,507,0.0,0.0,3.2433752e-05,-6.6211214e-09,1.070709e-07,-0.4628211259841919,770,1576960,2911.183264863037,1576960
101.0,0.0,529,0.0,0.0,3.2748903e-05,9.458745e-10,4.1461908e-07,0.16316646337509155,780,1597440,2949.7002363390056,1597440
101.0,0.0,532,8.673088e-18,0.0,3.277608e-05,-2.6760972e-08,4.9905847e-08,0.1428978443145752,790,1617920,2987.9426456229994,1617920
101.0,0.0,539,0.0,0.0,3.294145e-05,-3.5797711e-09,3.8563655e-08,0.1796131134033203,800,1638400,3026.5109423380345,1638400
101.0,0.0,528,0.0,0.0,3.3032422e-05,-4.947651e-09,1.2885203e-08,0.27465665340423584,810,1658880,3065.1960214350256,1658880
101.0,0.0,536,1.04077056e-17,0.0,3.219851e-05,-5.3842086e-10,3.312508e-08,-0.20581364631652832,820,1679360,3104.860405576008,1679360
101.0,0.0,518,1.5611558e-17,0.0,3.2655484e-05,1.2951205e-09,1.9061043e-08,0.12769073247909546,830,1699840,3143.5301226240117,1699840
101.0,0.0,531,0.0,0.0,3.2152064e-05,1.5395926e-08,1.3016081e-07,-0.05803060531616211,840,1720320,3182.5630135300453,1720320
101.0,0.0,534,0.0,0.0,3.230427e-05,1.3722456e-08,6.4772955e-08,-0.049324750900268555,850,1740800,3221.219947671052,1740800
101.0,0.0,531,0.0,0.0,3.3257045e-05,-1.1787051e-08,3.1891446e-08,0.3876299262046814,860,1761280,3259.84154932003,1761280
101.0,0.0,528,2.9490187e-17,0.0,3.296303e-05,-1.0186341e-10,8.318912e-08,-0.05049395561218262,870,1781760,3298.5688990160124,1781760
101.0,0.0,530,2.5151955e-17,0.0,3.303574e-05,-4.125468e-09,2.482468e-06,0.5555737912654877,880,1802240,3337.074098801997,1802240
101.0,0.0,527,6.0714395e-18,0.0,1.192402e-05,-2.2700988e-09,1.0444525e-08,0.5240868330001831,890,1822720,3375.6940154850017,1822720
101.0,0.0,534,6.938788e-18,0.0,1.1936094e-05,2.066372e-09,1.1614803e-08,0.5186788737773895,900,1843200,3414.0283699430292,1843200
101.0,0.0,536,0.0,0.0,1.2015068e-05,-7.712515e-10,1.6168322e-08,0.4878987669944763,910,1863680,3452.9340565309976,1863680
101.0,0.0,527,0.0,0.0,1.1952817e-05,-2.764864e-10,9.06182e-09,0.46536439657211304,920,1884160,3491.899128405028,1884160
101.0,0.0,526,8.673485e-19,0.0,1.2068731e-05,-1.5716068e-09,2.2498784e-07,0.3826863169670105,930,1904640,3530.6273485640413,1904640
101.0,0.0,538,0.0,0.0,1.1976972e-05,5.820766e-11,1.6906016e-08,0.4233440160751343,940,1925120,3569.0476832319982,1925120
101.0,0.0,531,0.0,0.0,1.1949465e-05,5.47152e-09,2.0538425e-07,0.43247729539871216,950,1945600,3607.400151976035,1945600
101.0,0.0,489,0.0,0.0,1.198389e-05,-1.344597e-08,7.0946726e-07,0.003941237926483154,960,1966080,3646.719693273015,1966080
101.0,0.0,486,0.0,0.0,1.2025967e-05,-1.731678e-08,2.1103226e-08,0.26060575246810913,970,1986560,3692.0210458710208,1986560
101.0,0.0,510,0.0,0.0,1.18476055e-05,5.675247e-10,6.152986e-09,0.3736991286277771,980,2007040,3734.236738574051,2007040
101.0,0.0,499,0.0,0.0,1.1933291e-05,-2.2992026e-09,6.991783e-07,0.4455678462982178,990,2027520,3774.404471105023,2027520
101.0,0.0,444,0.0,0.0,1.194158e-05,2.9394869e-09,2.2375112e-08,0.25757819414138794,1000,2048000,3819.127201481024,2048000
101.0,0.0,461,0.0,0.0,1.1812194e-05,-1.193257e-09,2.2923528e-08,0.3693816065788269,1010,2068480,3862.6219245960237,2068480
101.0,0.0,527,0.0,0.0,1.1818052e-05,-1.6705599e-08,5.5204225e-07,0.09227943420410156,1020,2088960,3903.5945547050214,2088960
101.0,0.0,556,4.3367425e-18,0.0,1.1672572e-05,-3.608875e-09,5.9241634e-09,0.43148720264434814,1030,2109440,3941.7623465100187,2109440
101.0,0.0,551,0.0,0.0,1.18666085e-05,-1.3853423e-08,2.117345e-08,0.3604656457901001,1040,2129920,3978.7780981070246,2129920
101.0,0.0,557,3.556129e-17,0.0,1.1706385e-05,-7.21775e-09,1.3679848e-07,0.20906662940979004,1050,2150400,4015.668959184026,2150400
101.0,0.0,544,1.5612035e-17,0.0,1.17303425e-05,-1.15833245e-08,2.8082638e-07,0.23137003183364868,1060,2170880,4054.235713557049,2170880
101.0,0.0,548,7.8061365e-18,0.0,1.1691103e-05,-6.0827006e-09,7.7359607e-07,0.05719780921936035,1070,2191360,4091.4557816720335,2191360
101.0,0.0,540,0.0,0.0,1.1647642e-05,3.2014214e-09,5.4091096e-09,0.5562306940555573,1080,2211840,4128.635753557028,2211840
101.0,0.0,550,0.0,0.0,1.195539e-05,-1.7462298e-09,9.487689e-07,0.216092050075531,1090,2232320,4165.95056249405,2232320
101.0,0.0,557,0.0,0.0,1.156316e-05,1.5716068e-09,7.114118e-09,0.3201017379760742,1100,2252800,4203.0355417510145,2252800
101.0,0.0,553,0.0,0.0,1.1791375e-05,6.9849193e-09,8.632082e-08,0.3226969838142395,1110,2273280,4240.167116801022,2273280
101.0,0.0,551,0.0,0.0,1.1560537e-05,9.0076355e-09,1.7699031e-07,0.06946372985839844,1120,2293760,4277.348626802035,2293760
101.0,0.0,554,0.0,0.0,1.1685546e-05,-4.48199e-09,6.8426855e-09,0.5112176537513733,1130,2314240,4314.332881249022,2314240
101.0,0.0,553,2.948985e-17,0.0,1.1767206e-05,-6.708433e-09,7.205421e-08,0.3618546724319458,1140,2334720,4351.643002555007,2334720
101.0,0.0,546,0.0,0.0,1.1867279e-05,-1.2805685e-08,9.207168e-08,0.41520148515701294,1150,2355200,4388.8218573360355,2355200
101.0,0.0,549,0.0,0.0,1.17572245e-05,1.6880222e-09,5.3111897e-09,0.5494786202907562,1160,2375680,4425.8633854160435,2375680
101.0,0.0,545,0.0,0.0,1.19251235e-05,-3.1475793e-08,3.583342e-07,0.3197898268699646,1170,2396160,4462.889478931029,2396160
101.0,0.0,545,6.938722e-18,0.0,1.1787788e-05,-1.625449e-08,9.584433e-07,0.11428838968276978,1180,2416640,4499.912943612027,2416640
101.0,0.0,556,0.0,0.0,1.1814748e-05,-1.3242243e-09,1.376827e-08,0.564116895198822,1190,2437120,4537.134050016,2437120
101.0,0.0,548,0.0,0.0,1.1657014e-05,2.9438525e-08,8.3446304e-07,0.05187469720840454,1200,2457600,4574.491493310023,2457600
101.0,0.0,542,0.0,0.0,1.1798678e-05,3.6961865e-09,1.8661117e-08,0.2321704626083374,1210,2478080,4611.691406918049,2478080
101.0,0.0,554,0.0,0.0,1.19192755e-05,2.0198058e-08,5.4846447e-07,0.018089890480041504,1220,2498560,4649.004626571026,2498560
101.0,0.0,549,0.0,0.0,1.1875985e-05,-3.8198777e-09,7.3071874e-08,0.06993818283081055,1230,2519040,4686.174978752038,2519040
101.0,0.0,553,0.0,0.0,1.1836165e-05,-1.4842954e-09,4.9421978e-09,0.5161014497280121,1240,2539520,4723.269465318008,2539520
101.0,0.0,551,0.0,0.0,1.1969929e-05,7.858034e-10,5.434691e-07,0.43493515253067017,1250,2560000,4760.295834714023,2560000
101.0,0.0,550,0.0,0.0,1.1894639e-05,6.213668e-09,7.2827746e-08,0.46583497524261475,1260,2580480,4797.384932603047,2580480
101.0,0.0,557,0.0,0.0,1.18762055e-05,-4.452886e-09,2.4402027e-08,0.5404552221298218,1270,2600960,4834.393788696034,2600960
101.0,0.0,551,0.0,0.0,1.1608329e-05,-3.958121e-09,4.6452278e-09,0.36831676959991455,1280,2621440,4871.572241077025,2621440
101.0,0.0,560,0.0,0.0,1.1715535e-05,-1.497392e-08,7.022244e-08,0.43130606412887573,1290,2641920,4908.527178311022,2641920
101.0,0.0,547,0.0,0.0,1.1953882e-05,7.4214768e-09,5.8400477e-08,0.2844335436820984,1300,2662400,4945.65452536504,2662400
101.0,0.0,552,0.0,0.0,1.1783814e-05,-3.2014214e-10,1.475758e-08,0.4604266285896301,1310,2682880,4982.7808752230485,2682880
101.0,0.0,553,0.0,0.0,1.1589579e-05,7.930794e-09,1.3050642e-07,0.3971982002258301,1320,2703360,5019.76651513204,2703360
101.0,0.0,548,0.0,0.0,1.1655095e-05,-4.7584763e-09,1.8169505e-06,0.15228623151779175,1330,2723840,5056.899722509028,2723840
101.0,0.0,624,0.0,0.0,1.1612367e-05,1.4406396e-09,7.977837e-08,0.2589610815048218,1340,2744320,5091.027212240035,2744320
101.0,0.0,655,0.0,0.0,1.1847647e-05,-3.4633558e-09,1.6814456e-08,0.5868077874183655,1350,2764800,5122.449519798043,2764800
101.0,0.0,647,0.0,0.0,1.1758581e-05,6.490154e-09,4.5246063e-07,0.09207773208618164,1360,2785280,5153.628557537042,2785280
