# {"t_start": 1569753756.0582826, "env_id": null} 
r,l,t
-30,201,1.469726
-40,201,1.643318
-40,201,1.81658
-10,201,1.990216
-40,201,2.204336
-20,201,2.784983
-60,201,3.395373
-50,201,3.974462
-40,201,4.555365
-30,201,5.20673
-20,201,5.848372
-20,201,6.42866
-20,201,6.995432
-30,201,7.566436
-40,201,8.139587
-30,201,8.745341
-10,201,9.402097
-30,201,9.996283
-40,201,10.574478
-10,201,11.146377
-30,201,11.728869
-30,201,12.356945
-20,201,12.959262
-20,201,13.578844
-20,201,14.17384
-30,201,14.75542
-40,201,15.335174
-60,201,15.917313
-40,201,16.56112
-30,201,17.427296
-50,201,18.214938
-40,201,18.812449
-20,201,19.416741
-20,201,20.030221
-30,201,20.63709
-40,201,21.221408
0,201,21.8478
-20,201,22.431242
-30,201,23.126458
-30,201,23.983534
-10,201,24.557272
-30,201,25.131786
-30,201,25.712347
-30,201,26.313309
-20,201,26.92274
-40,201,27.502354
-20,201,28.084219
-50,201,28.660324
-30,201,29.235526
-30,201,29.824219
-10,201,30.430031
-30,201,31.098541
-20,201,31.700085
-60,201,32.286438
-40,201,32.88261
-40,201,33.486922
-20,201,34.065603
-30,201,34.643452
-30,201,35.222553
-60,201,35.810856
-30,201,36.449941
-20,201,37.047773
-30,201,37.631778
-50,201,38.216646
-30,201,38.795757
-20,201,39.371655
-20,201,39.977151
-20,201,40.561551
-50,201,41.254008
-30,201,42.081735
0,201,42.676035
-60,201,43.262952
-20,201,43.861928
-10,201,44.505013
-20,201,45.149974
-20,201,45.761637
-40,201,46.396853
-30,201,47.012788
-40,201,47.636683
-30,201,48.284545
-40,201,48.890781
-50,201,49.502614
-10,201,50.108074
-10,201,50.695482
-30,201,51.293497
-20,201,51.904494
-40,201,52.479144
-40,201,53.061099
-60,201,53.653402
-50,201,54.236211
-50,201,54.83917
-20,201,55.439366
-40,201,56.043396
-10,201,56.637453
-60,201,57.318704
-30,201,58.127666
-10,201,58.735618
-20,201,59.333406
-20,201,59.914294
-30,201,60.497668
-20,201,61.0824
-10,201,61.672954
-50,201,62.282696
-40,201,62.9434
-40,201,63.552855
-20,201,64.181383
-40,201,64.78009
-30,201,65.348259
-40,201,65.916586
-10,201,66.484723
-10,201,67.053408
-40,201,67.614302
-10,201,68.170246
-30,201,68.73777
-50,201,69.317394
-20,201,69.890821
-10,201,70.465004
-40,201,71.033889
-30,201,71.602381
-10,201,72.170333
-40,201,72.737164
-20,201,73.303705
-50,201,73.878173
-20,201,74.439379
-40,201,75.004592
-30,201,75.565983
-10,201,76.130524
-30,201,76.699827
-20,201,77.271587
-40,201,77.849337
-60,201,78.422608
-40,201,79.007128
-20,201,79.580917
-10,201,80.143348
-50,201,80.698011
-10,201,81.24368
0,201,81.786163
0,201,82.336414
-10,201,82.907073
-20,201,83.484405
-50,201,84.063681
-10,201,84.636657
-20,201,85.216373
-10,201,85.789079
-40,201,86.365797
-30,201,86.938377
-20,201,87.503961
-20,201,88.071086
-20,201,88.639052
-10,201,89.270472
-40,201,89.84342
-30,201,90.414248
-30,201,90.984951
-30,201,91.558838
-40,201,92.128057
-40,201,92.701103
-20,201,93.265564
0,201,93.824492
-10,201,94.390466
-40,201,94.958561
-20,201,95.5297
-10,201,96.093225
-30,201,96.657093
-30,201,97.228033
-10,201,97.79561
-50,201,98.363683
-40,201,98.930904
-50,201,99.496871
-40,201,100.074606
-10,201,100.649528
-50,201,101.230295
-20,201,101.810446
-10,201,102.380937
-40,201,102.959692
-40,201,103.537788
-30,201,104.115628
-30,201,104.706335
-20,201,105.293214
-30,201,105.886868
-20,201,106.481813
-30,201,107.070834
-30,201,107.66667
-40,201,108.258566
-30,201,108.851086
-30,201,109.445688
-40,201,110.039739
-20,201,110.633644
-60,201,111.230624
0,201,111.818543
-20,201,112.409431
-50,201,112.999653
-10,201,113.592187
-30,201,114.182097
-30,201,114.772744
-20,201,115.362254
-10,201,115.948427
-10,201,116.534632
-20,201,117.122484
0,201,117.713938
-20,201,118.311281
-40,201,118.902737
-30,201,119.498699
-20,201,120.086177
-30,201,120.678096
-10,201,121.267766
-20,201,121.858637
-30,201,122.453702
-60,201,123.053442
-40,201,123.643747
-10,201,124.226873
-30,201,124.807319
-30,201,125.388347
-50,201,125.967885
-50,201,126.543014
-20,201,127.119746
-50,201,127.700927
-10,201,128.283999
-30,201,128.854597
-30,201,129.43459
-30,201,130.014238
-10,201,130.594071
-20,201,131.177848
-30,201,131.759675
-30,201,132.341341
-10,201,132.937887
-20,201,133.507698
-30,201,134.087895
-40,201,134.670423
-70,201,135.255846
-40,201,135.840727
-30,201,136.427568
-10,201,137.018107
-60,201,137.613967
-40,201,138.208333
-40,201,138.802324
-20,201,139.390684
-60,201,139.990163
-20,201,140.586676
-30,201,141.176364
-30,201,141.769314
-20,201,142.358419
-40,201,142.94849
-20,201,143.541516
-40,201,144.133199
-40,201,144.71581
0,201,145.297717
-40,201,145.870876
-20,201,146.457793
-40,201,147.040455
-40,201,147.611945
-40,201,148.185102
-20,201,148.763291
-10,201,149.35294
-20,201,149.947972
-30,201,150.537065
-10,201,151.125969
-60,201,151.734623
-30,201,152.329682
-30,201,152.909812
-20,201,153.492126
-50,201,154.074248
-10,201,154.655553
-40,201,155.236679
-50,201,155.817453
-40,201,156.401634
-40,201,156.98182
-20,201,157.557898
-40,201,158.142649
