# {"t_start": 1569774067.8238258, "env_id": null} 
r,l,t
-40,201,1.164391
-10,201,1.378947
-40,201,1.587229
-30,201,1.800887
-30,201,2.013388
-40,201,2.234521
-20,201,2.480368
-30,201,2.70649
-30,201,2.922627
-30,201,3.135624
-40,201,3.448203
-10,201,3.658201
-10,201,3.861981
-40,201,4.069761
-40,201,4.271683
-40,201,4.47949
-30,201,4.704868
-50,201,4.915545
-10,201,5.120567
-20,201,5.335852
-20,201,5.611637
-10,201,5.82959
-10,201,6.049634
-40,201,6.248713
-40,201,6.449532
-20,201,6.646887
-10,201,6.853635
0,201,7.076643
0,201,7.307554
-20,201,7.534238
-40,201,7.798932
-10,201,8.030825
-40,201,8.267114
-20,201,8.470694
-30,201,8.680904
-30,201,8.885049
0,201,9.080758
-20,201,9.27968
-10,201,9.488396
-20,201,9.691456
-30,201,9.953557
-30,201,10.161221
-10,201,10.358539
-40,201,10.556431
-10,201,10.7674
-20,201,10.97295
0,201,11.19035
-30,201,11.408682
-10,201,11.646351
-10,201,11.887528
0,201,12.17013
-20,201,12.386565
-10,201,12.59185
-30,201,12.79942
-10,201,12.994632
-30,201,13.205932
-10,201,13.419335
0,201,13.621354
-20,201,13.830684
-20,201,14.039053
-10,201,14.328731
0,201,14.676796
-20,201,14.976937
-10,201,15.18066
-30,201,15.396505
-10,201,15.604464
-30,201,15.817998
-10,201,16.023694
-20,201,16.227092
0,201,16.421762
-10,201,16.643859
-30,201,16.902559
-10,201,17.110088
-30,201,17.318414
-10,201,17.532075
0,201,17.744498
-10,201,17.955416
0,201,18.166593
0,201,18.363705
-10,201,18.563277
-10,201,18.767463
-10,201,19.030544
-20,201,19.239818
-20,201,19.441203
0,201,19.65582
0,201,19.864455
-20,201,20.0656
0,201,20.28379
0,201,20.511572
-10,201,20.740414
0,201,20.943509
-10,201,21.203993
10,201,21.421892
0,201,21.62999
0,201,21.834646
0,201,22.041181
-10,201,22.256558
-10,201,22.466061
-20,201,22.666407
-20,201,22.871218
0,201,23.081954
0,201,23.339731
0,201,23.550159
0,201,23.762385
0,201,23.992306
